C:\Users\jnajmon\PycharmProjects\ANN_derivatives_TO\venv\Scripts\python.exe "C:\Program Files\JetBrains\PyCharm 2021.2.3\plugins\python\helpers\pydev\pydevconsole.py" --mode=client --port=60715
import sys; print('Python %s on %s' % (sys.version, sys.platform))
sys.path.extend(['C:\\Users\\jnajmon\\PycharmProjects\\ANN_derivatives_TO', 'C:/Users/jnajmon/PycharmProjects/ANN_derivatives_TO'])
Python 3.9.5 (tags/v3.9.5:0a7dcbd, May  3 2021, 17:27:52) [MSC v.1928 64 bit (AMD64)]
Type 'copyright', 'credits' or 'license' for more information
IPython 8.14.0 -- An enhanced Interactive Python. Type '?' for help.
PyDev console: using IPython 8.14.0
Python 3.9.5 (tags/v3.9.5:0a7dcbd, May  3 2021, 17:27:52) [MSC v.1928 64 bit (AMD64)] on win32
runfile('C:/Users/jnajmon/PycharmProjects/ANN_derivatives_TO/Run_HBTO_ANN.py', wdir='C:/Users/jnajmon/PycharmProjects/ANN_derivatives_TO')
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  | penalty  |barrier param|CG stop|
|-------|-------|-------|-------------|----------|----------|----------|----------|-------------|-------|
|   1   |   1   |   0   | +2.5561e+02 | 1.00e+00 | 1.03e+00 | 5.55e-17 | 1.00e+00 |  1.00e-01   |   0   |
|   2   |   2   |   1   | +2.4237e+02 | 7.00e+00 | 8.73e-01 | 1.54e-05 | 1.00e+00 |  1.00e-01   |   2   |
|   3   |   3   |   4   | +2.2203e+02 | 1.81e+01 | 4.03e-01 | 9.69e-05 | 1.00e+00 |  1.00e-01   |   4   |
|   4   |   4   |   7   | +2.0797e+02 | 2.09e+01 | 1.34e-01 | 1.14e-04 | 1.00e+00 |  1.00e-01   |   4   |
|   5   |   5   |  12   | +1.9520e+02 | 2.79e+01 | 5.54e-02 | 1.66e-04 | 1.00e+00 |  1.00e-01   |   4   |
|   6   |   6   |  18   | +1.8997e+02 | 2.79e+01 | 4.07e-02 | 3.67e-05 | 1.00e+00 |  1.00e-01   |   4   |
|   7   |   6   |  18   | +1.8997e+02 | 1.39e+02 | 6.02e-02 | 3.67e-05 | 1.00e+00 |  2.00e-02   |   0   |
|   8   |   7   |  31   | +1.8110e+02 | 1.39e+02 | 4.16e-02 | 1.23e-04 | 1.00e+00 |  2.00e-02   |   4   |
|   9   |   8   |  47   | +1.7624e+02 | 1.39e+02 | 3.38e-02 | 3.90e-05 | 1.00e+00 |  2.00e-02   |   4   |
|  10   |   9   |  60   | +1.7268e+02 | 1.39e+02 | 3.02e-02 | 2.39e-05 | 1.00e+00 |  2.00e-02   |   4   |
