C:\Users\jnajmon\PycharmProjects\ANN_derivatives_TO\venv\Scripts\python.exe "C:\Program Files\JetBrains\PyCharm 2021.2.3\plugins\python\helpers\pydev\pydevconsole.py" --mode=client --port=65263
import sys; print('Python %s on %s' % (sys.version, sys.platform))
sys.path.extend(['C:\\Users\\jnajmon\\PycharmProjects\\ANN_derivatives_TO', 'C:/Users/jnajmon/PycharmProjects/ANN_derivatives_TO'])
Python 3.9.5 (tags/v3.9.5:0a7dcbd, May  3 2021, 17:27:52) [MSC v.1928 64 bit (AMD64)]
Type 'copyright', 'credits' or 'license' for more information
IPython 8.14.0 -- An enhanced Interactive Python. Type '?' for help.
PyDev console: using IPython 8.14.0
Python 3.9.5 (tags/v3.9.5:0a7dcbd, May  3 2021, 17:27:52) [MSC v.1928 64 bit (AMD64)] on win32
runfile('C:/Users/jnajmon/PycharmProjects/ANN_derivatives_TO/Run_SIMPTO_noANN.py', wdir='C:/Users/jnajmon/PycharmProjects/ANN_derivatives_TO')
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  | penalty  |barrier param|CG stop|
|-------|-------|-------|-------------|----------|----------|----------|----------|-------------|-------|
|   1   |   1   |   0   | +3.5648e+02 | 1.00e+00 | 4.40e+00 | 0.00e+00 | 1.00e+00 |  1.00e-01   |   0   |
C:\Users\jnajmon\PycharmProjects\ANN_derivatives_TO\venv\lib\site-packages\scipy\optimize\_hessian_update_strategy.py:182: UserWarning: delta_grad == 0.0. Check if the approximated function is linear. If the function is linear better results can be obtained by defining the Hessian as zero instead of using quasi-Newton approximations.
  warn('delta_grad == 0.0. Check if the approximated '
|  34   |  33   | 1405  | +1.3472e+02 | 7.14e+02 | 1.44e-02 | 9.99e-16 | 1.00e+00 |  2.00e-02   |   4   |
|  35   |  34   | 1444  | +1.3365e+02 | 7.14e+02 | 1.35e-02 | 9.99e-16 | 1.00e+00 |  2.00e-02   |   4   |
|  36   |  35   | 1498  | +1.3289e+02 | 7.14e+02 | 1.30e-02 | 9.99e-16 | 1.00e+00 |  2.00e-02   |   4   |
|  37   |  36   | 1607  | +1.3214e+02 | 7.14e+02 | 1.26e-02 | 1.11e-15 | 1.00e+00 |  2.00e-02   |   4   |
|  38   |  37   | 1644  | +1.3151e+02 | 7.14e+02 | 1.34e-02 | 1.11e-15 | 1.00e+00 |  2.00e-02   |   4   |
|  39   |  38   | 1681  | +1.3076e+02 | 7.14e+02 | 1.39e-02 | 1.11e-15 | 1.00e+00 |  2.00e-02   |   4   |
|  40   |  39   | 1735  | +1.3001e+02 | 7.14e+02 | 1.32e-02 | 1.11e-15 | 1.00e+00 |  2.00e-02   |   4   |
|  41   |  40   | 1767  | +1.2914e+02 | 7.14e+02 | 1.31e-02 | 1.11e-15 | 1.00e+00 |  2.00e-02   |   4   |
|  42   |  41   | 1825  | +1.2876e+02 | 7.14e+02 | 1.32e-02 | 8.88e-16 | 1.00e+00 |  2.00e-02   |   4   |
|  43   |  42   | 1860  | +1.2795e+02 | 7.14e+02 | 1.39e-02 | 1.11e-15 | 1.00e+00 |  2.00e-02   |   4   |
|  44   |  43   | 1914  | +1.2752e+02 | 7.14e+02 | 1.39e-02 | 9.99e-16 | 1.00e+00 |  2.00e-02   |   4   |
|  45   |  44   | 1948  | +1.2676e+02 | 7.14e+02 | 1.35e-02 | 1.11e-15 | 1.00e+00 |  2.00e-02   |   4   |
|  46   |  45   | 1983  | +1.2614e+02 | 7.14e+02 | 1.29e-02 | 1.11e-15 | 1.00e+00 |  2.00e-02   |   4   |
|  47   |  46   | 2048  | +1.2569e+02 | 7.14e+02 | 1.24e-02 | 9.99e-16 | 1.00e+00 |  2.00e-02   |   4   |
|  48   |  47   | 2079  | +1.2489e+02 | 7.14e+02 | 1.11e-02 | 9.99e-16 | 1.00e+00 |  2.00e-02   |   4   |
|  49   |  48   | 2108  | +1.2451e+02 | 7.14e+02 | 9.89e-03 | 1.11e-15 | 1.00e+00 |  2.00e-02   |   4   |
|  50   |  49   | 2137  | +1.2418e+02 | 7.14e+02 | 8.60e-03 | 1.11e-15 | 1.00e+00 |  2.00e-02   |   4   |
|  51   |  50   | 2166  | +1.2380e+02 | 7.14e+02 | 7.38e-03 | 1.11e-15 | 1.00e+00 |  2.00e-02   |   4   |
|  52   |  51   | 2197  | +1.2323e+02 | 7.14e+02 | 7.22e-03 | 9.99e-16 | 1.00e+00 |  2.00e-02   |   4   |
|  53   |  51   | 2197  | +1.2323e+02 | 3.57e+03 | 8.03e-03 | 9.99e-16 | 1.00e+00 |  4.00e-03   |   0   |
|  54   |  52   | 2239  | +1.1720e+02 | 3.57e+03 | 9.30e-03 | 1.11e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  55   |  53   | 2297  | +1.1475e+02 | 3.57e+03 | 1.04e-02 | 1.22e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  56   |  54   | 2686  | +1.1447e+02 | 3.57e+03 | 1.03e-02 | 1.44e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  57   |  55   | 2742  | +1.1329e+02 | 3.57e+03 | 1.02e-02 | 1.44e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  58   |  56   | 2836  | +1.1267e+02 | 3.57e+03 | 1.01e-02 | 1.44e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  59   |  57   | 2911  | +1.1203e+02 | 3.57e+03 | 9.88e-03 | 1.33e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  60   |  58   | 2970  | +1.1163e+02 | 3.57e+03 | 9.74e-03 | 1.22e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  61   |  59   | 3115  | +1.1098e+02 | 3.57e+03 | 9.68e-03 | 1.22e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  62   |  60   | 3191  | +1.1039e+02 | 3.57e+03 | 9.44e-03 | 1.22e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  63   |  61   | 3438  | +1.0992e+02 | 3.57e+03 | 9.52e-03 | 1.22e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  64   |  62   | 3489  | +1.0954e+02 | 3.57e+03 | 9.80e-03 | 1.44e-15 | 1.00e+00 |  4.00e-03   |   4   |
|  65   |  63   | 3576  | +1.0876e+02 | 3.57e+03 | 1.03e-02 | 1.22e-15 | 1.00e+00 |  4.00e-03   |   4   |
